id	category	question	value	distractor1	distractor2	distractor3	audit_status	issues
DV20-044	Normal Procedures	What speed should be maintained during clearing turns before maneuvers?	90 kts	VS+10 kts	65 kts	70 kts		
DV20-045	Normal Procedures	What is the target speed when establishing a glide from straight and level?	70 kts	90 kts	59 kts	64 kts		
DV20-046	Maneuvers & Stalls	At what speed is slow flight performed?	VS + 10 kts	60 kts minimum	70 kts exactly	VS + 5 kts		
DV20-047	Maneuvers & Stalls	On entry to slow flight, to what power setting is power initially reduced?	"12–15"" MP"	"25"" MP, 2400 RPM, 90 kts"	"±18"" MP, 2400 RPM, 90 kts"	"15"" MP"		
DV20-048	Maneuvers & Stalls	Besides stall warning and buffet, what is the other approach-to-stall recovery trigger?	5 kts above stall speed, whichever comes first	104 kts	15 kts	64 kts		
DV20-049	Maneuvers & Stalls	In a power-on stall recovery, what is the minimum speed before raising the nose to climb attitude?	60 kts	43 kts	55 kts	70 kts		
DV20-050	Maneuvers & Stalls	What is the minimum recovery altitude for a full stall when solo?	3000 ft AGL	2000 ft AGL	1500 ft AGL	700 ft AGL		
DV20-051	Maneuvers & Stalls	What is the minimum recovery altitude for an approach to stall when solo?	2000 ft AGL	1000 ft AGL	3000 ft AGL	1500 ft AGL		
DV20-052	Maneuvers & Stalls	During stall recovery, what takes priority?	Decrease angle of attack, not altitude loss	Maintain altitude at all costs	Retard throttle to idle first	Extend flaps immediately		
DV20-053	Maneuvers & Stalls	What must you do before lowering the flaps?	"Check speed is in the white arc and call out ""Speed checked"""	Set power to idle	Retract flaps fully first	Set carburetor heat OFF		
DV20-054	Maneuvers & Stalls	When accelerating out of slow flight with flaps, by what speed must the flaps be retracted?	81 kts	90 kts	104 kts	70 kts		
DV20-055	Circuit	At what altitude is the standard traffic circuit flown at uncontrolled aerodromes?	700 ft AAL	1500 ft AAL	500 ft AAL	1000 ft AAL		
DV20-056	Circuit	Up to what altitude does the aerodrome circuit area extend vertically?	1000 ft AAL	500 ft AGL	700 ft AAL	2000 ft AAL		
DV20-057	Circuit	Where and at what angle should you join the standard circuit?	Half-way downwind at 90° interception angle	30°	15°	45° half-way crosswind leg		
DV20-058	Circuit	Where does leaving the aerodrome circuit normally take place?	45° half-way crosswind leg	30°	15°	Half-way downwind at 90° interception angle		
DV20-059	Circuit	What speed is included in the downwind HARS check?	70 kts	90 kts	60 kts	75 kts		
DV20-060	Circuit	When turning base, where should the threshold be relative to the wing?	45–60° behind the wing	30°	15°	Half-way downwind at 90° interception angle		
DV20-061	Circuit	At approximately what altitude and position is the base-to-final turn made?	500 ft and 20° before extended centerline	300 ft on centerline	700 ft at crosswind	200 ft abeam threshold		
DV20-062	Circuit	By what altitude should you be established on the final centerline?	300 ft	200 ft AAL	300 ft AGL	Downwind with 1000 ft point		
DV20-063	Circuit	Below what speed may the flaps be selected?	81 kts (VFE)	70 kts	117 kts (VNO)	104 kts (VA)		
DV20-064	Circuit	What is the minimum height for overflying a circuit area to read the signal area?	1000 ft AAL	700 ft AAL	2000 ft AGL	500 ft AAL		
DV20-065	Takeoff	What is the rotation speed for a normal takeoff?	51 kts	58 kts	65 kts	57 kts		
DV20-066	Takeoff	After rotation on a normal takeoff, to what speed do you accelerate?	65 kts (Vy flaps T/O) then 70 kts after flap retraction	Maintain airplane control — fly the airplane	Select flaps UP and set propeller speed to 2400 RPM	"±24"" MP to maintain 70 kts"		
DV20-067	Takeoff	For a normal takeoff from a long, hard-surface runway, which flap setting is used?	Flaps UP	Flaps T/O	Flaps LDG	No flaps, with reduced power		
DV20-068	Takeoff	For a normal takeoff from a short runway (<800 m) or a soft/grass surface, which flap setting is used?	Flaps T/O	Flaps UP	Flaps LDG	No flaps, with reduced power		
DV20-069	Takeoff	What is the rotation speed for an obstacle clearance (short field) takeoff?	57 kts	60 kts	51 kts	65 kts		
DV20-070	Takeoff	What climb speed is held until clear of obstacles on an obstacle clearance takeoff?	58 kts (Vx)	65 kts (Vy)	70 kts	51 kts		
DV20-071	Takeoff	On a soft/rough field takeoff, at what speed do you gently raise the nose to climb attitude?	60 kts	65 kts	51 kts	70 kts		
DV20-072	Takeoff	During the takeoff roll, what should the engine instruments read?	2400 RPM ±100 RPM	1700 RPM	1100–1500 RPM	1100 RPM		
DV20-073	Takeoff	When leaving the circuit after departure, what is done with the electric fuel pump?	OFF	T/O	ON	UP		
DV20-074	Landing	What is the normal minimum speed over the threshold?	60 kts	70 kts	58 kts	55 kts		
DV20-075	Landing	What is the minimum threshold speed for a short field landing?	55 kts	43 kts	60 kts	70 kts		
DV20-076	Landing	In a flaps-up landing, what are the downwind, base, and final speeds?	70 kts / 70 kts / 70 kts	90 kts / 80 kts / 70 kts	70 kts / 65 kts / 58 kts	75 kts / 70 kts / 60 kts		
DV20-077	Landing	During a normal landing, when is the throttle retarded to idle?	Level flight about 1 m above the runway is established	ON before reducing power	"Increase power setting by 2"""	Clock position combined with above/below/on the horizon		
DV20-078	Landing	What does soft field landing technique emphasize?	Keep nosewheel off as long as possible with full back pressure	Brake immediately after main gear touchdown	Flaps UP throughout approach	Higher approach speed of 90 kts		
DV20-079	Landing	On a short field landing, what is done after the nosewheel touches down?	Flaps UP and brake carefully	Apply full power for touch-and-go	Leave flaps LDG until clear of runway	Retract carb heat first		
DV20-080	Landing	What flap setting is used for a touch and go on a paved runway?	UP (considering distance available)	LDG until rotation	Full flap throughout	T/O always		
DV20-081	Landing	What flap setting is used for a touch and go on grass?	T/O	ON	OFF	UP		
DV20-082	Landing	In a strong crosswind, what type of landing may be advisable?	A flapless landing	Higher power on final only	Full flap landing always	Slip without rudder correction		
DV20-083	Go-Around	What are the first actions in a go-around / balked landing?	MAX RPM, throttle FULL, carburetor heat OFF	Pitch up before adding power	Flaps UP, idle power, carb heat ON	Retract all flaps, then add power		
DV20-084	Go-Around	After applying power in a go-around, what flap setting is selected?	"T/O after ""Speed checked"" within white arc"	"Increase power setting by 2"""	Clock position combined with above/below/on the horizon	Decrease angle of attack, not altitude loss		
DV20-085	Go-Around	What is the initial climb speed sequence after a go-around?	58 kts (Vx), then 65 kts (Vy) when clear of obstacles	90 kts until downwind	51 kts until 200 ft	70 kts immediately		
DV20-086	Go-Around	After a go-around, above what height are flaps selected UP and the prop set to 2400 RPM?	200 ft AAL	700 ft AAL	500 ft AGL on base	1000 ft AAL		
DV20-087	Go-Around	During a go-around at Hilversum, which side of the runway may you need to stay clear of?	Right side of runway due to gliders/paras	Select flaps UP and set propeller speed to 2400 RPM	"±24"" MP to maintain 70 kts"	100 ft/min extra descend rate		
DV20-088	Abnormal & Emergency	A rejected takeoff should be executed if a continued takeoff becomes unsafe before what point?	Rotation	700 ft AAL	Flap retraction	Crosswind turn		
DV20-089	Abnormal & Emergency	Below what height should a simulated engine failure after takeoff (EFATO) exercise not be initiated?	300 ft AGL	500 ft AGL	700 ft AAL	200 ft AAL		
DV20-090	Abnormal & Emergency	After an engine failure after takeoff, to what glide speed do you lower the nose?	59 kts with flaps T/O, or 70 kts with flaps UP	Maintain airplane control — fly the airplane	Select flaps UP and set propeller speed to 2400 RPM	"±24"" MP to maintain 70 kts"		
DV20-091	Abnormal & Emergency	On the insufficient engine power drill, what position is carburetor heat set to?	OFF	T/O	ON	UP		
DV20-092	Abnormal & Emergency	On an engine failure in flight above 1500 ft, where do you fly?	Downwind with 1000 ft point	100 ft before desired altitude	2000 ft AGL	3000 ft AGL		
DV20-093	Abnormal & Emergency	On an engine failure in flight below 700 ft, where do you fly?	Direct final	Climb to 1500 ft first	Downwind with 1000 ft point	Direct base only		
DV20-094	Abnormal & Emergency	What transponder code is set during an engine failure in flight?	7700	7500	1200	7600		
DV20-095	Abnormal & Emergency	What airspeed is used for an emergency landing with the engine off?	59 kts	43 kts always	55 kts on downwind only	70 kts		
DV20-096	Abnormal & Emergency	What is the first action for an electrical fire (with smoke) in flight?	Master switch (battery) OFF	Full throttle	Open canopy immediately	Extend flaps LDG		
DV20-097	Abnormal & Emergency	If the generator warning light shows with discharge on the ammeter, what should you do?	Switch off all nonessential equipment and land at nearest suitable airport	Increase throttle to maximum	Turn master switch ON and OFF repeatedly	Continue flight indefinitely		
DV20-098	Abnormal & Emergency	What airspeed does the ENGINE FIRE IN FLIGHT checklist specify?	70 kts	81 kts	104 kts	15 kts		
DV20-099	Abnormal & Emergency	What is the first priority in all abnormal procedures?	Maintain airplane control — fly the airplane	Extend flaps immediately	Complete radio calls first	Shut down all electrical systems		
DV20-100	Preflight & Briefing	On the fuel dipstick, what does the lowest notch indicate?	10 liters of usable fuel	Full tank only	77 liters total	Unusable fuel quantity		
DV20-101	Preflight & Briefing	What is the preferred approved fuel at EHHV?	MOGAS per BAZ-Regulation	Aviation lubricant mixed with fuel	Jet A-1	Automotive diesel		
DV20-102	Preflight & Briefing	According to the document's CAUTION, what must NOT be used as a lubricant?	Aviation lubricant for engine oil	MOGAS at EHHV	SF or SG marked automotive oil	100LL AVGAS		
DV20-103	Preflight & Briefing	In the departure briefing example, where is the circuit left at Hilversum?	700 ft at crosswind leg under 45°	700 ft AAL	1000 ft AAL	500 ft and 20° before extended centerline		
DV20-104	Preflight & Briefing	What should threat and error management briefings identify?	Threats and how to mitigate them	Passenger meal preferences	Historical accident statistics only	Only radio phraseology		
DV20-105	Preflight & Briefing	What does an EHHV glide-in from 1000 ft downwind require?	Mandatory call, no traffic ahead, instructor only	Solo student approval	No radio call required	Full flap landing		
DV20-106	Preflight & Briefing	What call sign prefix should solo student pilots use?	STUDENT	GLIDER	TRAINING	DV20		
DV20-107	Preflight & Briefing	When taxiing, the instruments/brakes check is called out after leaving what?	The parking area	Crosswind leg	The runway	700 ft AAL		
DV20-108	Chair Flying - Mental Flows	Chair-fly phase checklist flow: mental callout check - On the AFTER TAKE-OFF checklist (minimum 200 ft AAL), what shoul…	Select flaps UP and set propeller speed to 2400 RPM	Set flaps T/O and reduce to idle power	Retract flaps and turn electric fuel pump OFF	Extend flaps LDG and set MAX RPM		
DV20-109	Chair Flying - Phase Actions	Chair-fly phase checklist flow: hands-and-eyes flow item - on the AFTER TAKE-OFF checklist (minimum 200 ft AAL), what s…	Select flaps UP and set propeller speed to 2400 RPM	Set flaps T/O and reduce to idle power	Retract flaps and turn electric fuel pump OFF	Extend flaps LDG and set MAX RPM		
DV20-110	Chair Flying - Mental Flows	Chair-fly phase checklist flow: mental callout check - When should the electric fuel pump be switched OFF after takeoff?	Above 1000 ft AAL	100 ft before desired altitude	2000 ft AGL	3000 ft AGL		
DV20-111	Chair Flying - Phase Actions	Chair-fly phase checklist flow: hands-and-eyes flow item - when should the electric fuel pump be switched OFF after tak…	Above 1000 ft AAL	200 ft AAL	300 ft AGL	Downwind with 1000 ft point		
DV20-112	Chair Flying - Mental Flows	Chair-fly phase checklist flow: mental callout check - During the engine run-up, to what RPM is the throttle set with t…	1700 RPM	1500 RPM	1100 RPM	2400 RPM		
DV20-113	Chair Flying - Phase Actions	Chair-fly phase checklist flow: hands-and-eyes flow item - during the engine run-up, to what RPM is the throttle set wi…	1700 RPM	1500 RPM	1100 RPM	2400 RPM		
DV20-114	Chair Flying - Mental Flows	Chair-fly phase checklist flow: mental callout check - If oil pressure is below 1.5 bar after start, what is the maximu…	10 seconds	2 minutes	5 minutes	5 seconds		
DV20-115	Chair Flying - Phase Actions	Chair-fly phase checklist flow: hands-and-eyes flow item - if oil pressure is below 1.5 bar after start, what is the ma…	10 seconds	5 minutes	5 seconds	15 seconds		
DV20-116	Chair Flying - Mental Flows	Chair-fly phase checklist flow: mental callout check - On the DOWNWIND checklist, what position should carburetor heat …	ON	OFF	T/O	UP		
DV20-117	Chair Flying - Phase Actions	Chair-fly phase checklist flow: hands-and-eyes flow item - on the DOWNWIND checklist, what position should carburetor h…	ON	OFF	T/O	UP		
DV20-118	Chair Flying - Mental Flows	Chair-fly phase checklist flow: mental callout check - What is the target speed on the BALKED LANDING checklist?	58 kts (Vx)	Raised by 10 kts	65 kts	58 kts		
DV20-119	Chair Flying - Phase Actions	Chair-fly phase checklist flow: hands-and-eyes flow item - what is the target speed on the BALKED LANDING checklist?	58 kts (Vx)	57 kts	55 kts	70 kts / 70 kts / 70 kts		
DV20-120	Chair Flying - Mental Flows	Chair-fly phase checklist flow: mental callout check - What is the initial airspeed on the ENGINE FAILURE DURING FLIGHT…	70 kts	64 kts	59 kts	90 kts		
DV20-121	Chair Flying - Phase Actions	Chair-fly phase checklist flow: hands-and-eyes flow item - what is the initial airspeed on the ENGINE FAILURE DURING FL…	70 kts	64 kts	59 kts	90 kts		
DV20-122	Chair Flying - Mental Flows	Chair-fly phase checklist flow: mental callout check - What airspeed does the EMERGENCY LANDING WITH ENGINE OFF checkli…	59 kts	70 kts	43 kts	55 kts		
DV20-123	Chair Flying - Phase Actions	Chair-fly phase checklist flow: hands-and-eyes flow item - what airspeed does the EMERGENCY LANDING WITH ENGINE OFF che…	59 kts	70 kts	43 kts	55 kts		
DV20-124	Chair Flying - Mental Flows	Chair-fly phase checklist flow: mental callout check - In a flap system failure where only the UP position is available…	Raised by 10 kts	57 kts	55 kts	70 kts / 70 kts / 70 kts		
DV20-125	Chair Flying - Phase Actions	Chair-fly phase checklist flow: hands-and-eyes flow item - in a flap system failure where only the UP position is avail…	Raised by 10 kts	70 kts / 70 kts / 70 kts	58 kts (Vx), then 65 kts (Vy) when clear of obstacles	58 kts (Vx)		
DV20-126	Chair Flying - Mental Flows	Chair-fly phase checklist flow: mental callout check - During taxi warm-up, at what RPM is the engine oil warmed to 50 …	1100–1500 RPM	2400 RPM ±100 RPM	1700 RPM	1100 RPM		
DV20-127	Chair Flying - Phase Actions	Chair-fly phase checklist flow: hands-and-eyes flow item - during taxi warm-up, at what RPM is the engine oil warmed to…	1100–1500 RPM	2400 RPM ±100 RPM	1700 RPM	1100 RPM		
DV20-128	Chair Flying - Mental Flows	Chair-fly power and energy management: mental callout check - What is the standard power setting for straight and level…	"25"" MP, 2400 RPM, 90 kts"	"15"" MP"	"20"" MP"	"±21"" MP, speed 70 kts"		
DV20-129	Chair Flying - Phase Actions	Chair-fly power and energy management: hands-and-eyes flow item - what is the standard power setting for straight and l…	"25"" MP, 2400 RPM, 90 kts"	"20"" MP"	"±21"" MP, speed 70 kts"	"12–15"" MP"		
DV20-130	Chair Flying - Mental Flows	Chair-fly power and energy management: mental callout check - What does the power/speed table specify for cruise (flaps…	"±25"" MP, 2400 RPM, 90 kts"	"15"" MP"	"20"" MP"	"±21"" MP, speed 70 kts"		
DV20-131	Chair Flying - Phase Actions	Chair-fly power and energy management: hands-and-eyes flow item - what does the power/speed table specify for cruise (f…	"±25"" MP, 2400 RPM, 90 kts"	"±18"" MP, 2400 RPM, 90 kts"	"15"" MP"	"20"" MP"		
DV20-132	Chair Flying - Mental Flows	Chair-fly power and energy management: mental callout check - What does the power/speed table specify for descent (flap…	"±18"" MP, 2400 RPM, 90 kts"	"15"" MP"	"20"" MP"	"±21"" MP, speed 70 kts"		
DV20-133	Chair Flying - Phase Actions	Chair-fly power and energy management: hands-and-eyes flow item - what does the power/speed table specify for descent (…	"±18"" MP, 2400 RPM, 90 kts"	"12–15"" MP"	"25"" MP, 2400 RPM, 90 kts"	"15"" MP"		
DV20-134	Chair Flying - Mental Flows	Chair-fly power and energy management: mental callout check - On downwind, after selecting flaps T/O, to what setting i…	"±24"" MP to maintain 70 kts"	Full throttle until base	"±15"" MP to maintain 70 kts"	"±21"" MP to maintain 75 kts"		
DV20-135	Chair Flying - Phase Actions	Chair-fly power and energy management: hands-and-eyes flow item - on downwind, after selecting flaps T/O, to what setti…	"±24"" MP to maintain 70 kts"	Full throttle until base	"±15"" MP to maintain 70 kts"	"±21"" MP to maintain 75 kts"		
DV20-136	Chair Flying - Mental Flows	Chair-fly power and energy management: mental callout check - What is the initial throttle (MP) setting when turning ba…	"15"" MP"	"25"" MP, 2400 RPM, 90 kts"	"±18"" MP, 2400 RPM, 90 kts"	"20"" MP"		
DV20-137	Chair Flying - Phase Actions	Chair-fly power and energy management: hands-and-eyes flow item - what is the initial throttle (MP) setting when turnin…	"15"" MP"	"25"" MP, 2400 RPM, 90 kts"	"±18"" MP, 2400 RPM, 90 kts"	"20"" MP"		
DV20-138	Chair Flying - Mental Flows	Chair-fly power and energy management: mental callout check - What is the minimum approach speed on final?	60 kts	58 kts	70 kts	55 kts		
DV20-139	Chair Flying - Phase Actions	Chair-fly power and energy management: hands-and-eyes flow item - what is the minimum approach speed on final?	60 kts	58 kts	70 kts	55 kts		
DV20-140	Chair Flying - Mental Flows	Chair-fly power and energy management: mental callout check - Below what power setting (MP) must carburetor heat be ON?	"20"" MP"	"25"" MP"	"15"" MP"	"18"" MP"		
DV20-141	Chair Flying - Phase Actions	Chair-fly power and energy management: hands-and-eyes flow item - below what power setting (MP) must carburetor heat be…	"20"" MP"	"25"" MP"	"15"" MP"	"18"" MP"		
DV20-142	Chair Flying - Mental Flows	Chair-fly power and energy management: mental callout check - Per the power/speed table, what is the target speed for c…	65 kts at full throttle, PSCL full forward	90 kts	95 kts	VS + 10 kts		
DV20-143	Chair Flying - Phase Actions	Chair-fly power and energy management: hands-and-eyes flow item - per the power/speed table, what is the target speed f…	65 kts at full throttle, PSCL full forward	90 kts	95 kts	VS + 10 kts		
DV20-144	Chair Flying - Mental Flows	Chair-fly power and energy management: mental callout check - During descent, approximately how much extra descent rate…	100 ft/min extra descend rate	No change to descend rate	50 ft/min less descend rate	200 ft/min extra descend rate		
DV20-145	Chair Flying - Phase Actions	Chair-fly power and energy management: hands-and-eyes flow item - during descent, approximately how much extra descent …	100 ft/min extra descend rate	No change to descend rate	50 ft/min less descend rate	200 ft/min extra descend rate		
DV20-146	Chair Flying - Mental Flows	Chair-fly power and energy management: mental callout check - When staying in the circuit, what power setting and speed…	"±21"" MP, speed 70 kts"	"12–15"" MP"	"25"" MP, 2400 RPM, 90 kts"	"±18"" MP, 2400 RPM, 90 kts"		
DV20-147	Chair Flying - Phase Actions	Chair-fly power and energy management: hands-and-eyes flow item - when staying in the circuit, what power setting and s…	"±21"" MP, speed 70 kts"	"25"" MP, 2400 RPM, 90 kts"	"±18"" MP, 2400 RPM, 90 kts"	"15"" MP"		
DV20-148	Chair Flying - Mental Flows	Chair-fly climb / level / descend / turns: mental callout check - In the transition from straight and level to climb, a…	70 kts	90 kts	58 kts	65 kts		
DV20-149	Chair Flying - Phase Actions	Chair-fly climb / level / descend / turns: hands-and-eyes flow item - in the transition from straight and level to clim…	70 kts	90 kts	58 kts	65 kts		
DV20-150	Chair Flying - Mental Flows	Chair-fly climb / level / descend / turns: mental callout check - When leveling off from a climb, at what airspeed is p…	90 kts	70 kts	65 kts	75 kts		
DV20-151	Chair Flying - Phase Actions	Chair-fly climb / level / descend / turns: hands-and-eyes flow item - when leveling off from a climb, at what airspeed …	90 kts	70 kts	65 kts	75 kts		
DV20-152	Chair Flying - Mental Flows	Chair-fly climb / level / descend / turns: mental callout check - In the transition to descent, what should be done wit…	ON before reducing power	Decrease angle of attack, not altitude loss	"Check speed is in the white arc and call out ""Speed checked"""	65 kts (Vy flaps T/O) then 70 kts after flap retraction		
DV20-153	Chair Flying - Phase Actions	Chair-fly climb / level / descend / turns: hands-and-eyes flow item - in the transition to descent, what should be done…	ON before reducing power	100 ft/min extra descend rate	"Increase power setting by 2"""	Clock position combined with above/below/on the horizon		
DV20-154	Chair Flying - Mental Flows	Chair-fly climb / level / descend / turns: mental callout check - When leveling off from a descent, at what point is ca…	100 ft before desired altitude	500 ft and 20° before extended centerline	300 ft	200 ft AAL		
DV20-155	Chair Flying - Phase Actions	Chair-fly climb / level / descend / turns: hands-and-eyes flow item - when leveling off from a descent, at what point i…	100 ft before desired altitude	500 ft and 20° before extended centerline	300 ft	200 ft AAL		
DV20-156	Chair Flying - Mental Flows	Chair-fly climb / level / descend / turns: mental callout check - What is the standard bank angle for a level turn?	30°	45°	15°	20°		
DV20-157	Chair Flying - Phase Actions	Chair-fly climb / level / descend / turns: hands-and-eyes flow item - what is the standard bank angle for a level turn?	30°	45°	15°	20°		
DV20-158	Chair Flying - Mental Flows	Chair-fly climb / level / descend / turns: mental callout check - What is the approximate target speed during a 30 degr…	95 kts	90 kts	104 kts	70 kts		
DV20-159	Chair Flying - Phase Actions	Chair-fly climb / level / descend / turns: hands-and-eyes flow item - what is the approximate target speed during a 30 …	95 kts	90 kts	104 kts	70 kts		
DV20-160	Chair Flying - Mental Flows	Chair-fly climb / level / descend / turns: mental callout check - What is the maximum bank angle for a climbing turn?	15°	20°	30°	45°		
DV20-161	Chair Flying - Phase Actions	Chair-fly climb / level / descend / turns: hands-and-eyes flow item - what is the maximum bank angle for a climbing tur…	15°	20°	30°	45°		
DV20-162	Chair Flying - Mental Flows	Chair-fly climb / level / descend / turns: mental callout check - During a 45 degree steep turn, what should you do whe…	"Increase power setting by 2"""	Extend flaps T/O	"Decrease power setting by 2"""	Retard throttle to idle		
DV20-163	Chair Flying - Phase Actions	Chair-fly climb / level / descend / turns: hands-and-eyes flow item - during a 45 degree steep turn, what should you do…	"Increase power setting by 2"""	Extend flaps T/O	"Decrease power setting by 2"""	Retard throttle to idle		
DV20-164	Chair Flying - Mental Flows	Chair-fly climb / level / descend / turns: mental callout check - What is the minimum altitude for the steep turn exerc…	2000 ft AGL	700 ft AGL	1500 ft AGL	3000 ft AGL		
DV20-165	Chair Flying - Phase Actions	Chair-fly climb / level / descend / turns: hands-and-eyes flow item - what is the minimum altitude for the steep turn e…	2000 ft AGL	700 ft AGL	1500 ft AGL	3000 ft AGL		
